Source Pipeline,Stellar Catalog,TIC,Full TOI ID,Signal ID,TOI Disposition,EXOFOP Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,VMag Value,VMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Alerted,Edited
qlp,tic8,288636342,1692.02,2,PC,PC,279.464488,78.61113,10.741,0.0061,11.056,0.009,1686.83331,0.00204,32.20708,0.00035,8.115,0.19,2570.0,0.534292,26,outer companion to 1692.01; transits close to momentum dump and data gap; TOI ID renamed to reflect second candidate,2020-09-11 18:37:11+0000,2021-04-27 11:19:08+0000
spoc,tic8,265146266,2255.01,1,PC,PC,316.892469,74.38313,12.0836,0.006,12.899,0.24,1962.151916,0.003134,11.954062,0.004392,3.763071,0.302938,9078.847449,574.9255,24,V-shaped; S25 light curve is bad but S24+S26 are ok and show the transit signal,2020-09-23 20:39:02+0000,2021-04-27 11:19:08+0000
spoc,,61980227,2316.01,1,PC,PC,335.53687,-30.76388,11.996,0.018,12.588,0.057,2064.594292,0.001192,3.095898,0.000291,1.858468,0.101722,10354.991695,492.3127,28,possible synchronization; slight odd-even; large; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,302333151,2315.01,1,PC,PC,320.52413,-27.55439,11.004,0.018,11.336,0.016,2062.370165,0.000967,1.440823,0.000107,1.745704,0.06575,4470.558083,238.16164,28,v-shaped; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,355446093,2314.01,1,PC,PC,350.86985,-52.17591,11.718,0.018,12.288,0.027,2063.240033,0.004612,15.937546,0.006529,4.539534,0.304738,4172.292483,396.49298,28,v-shaped; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,325468685,2313.01,1,PC,PC,354.81687,-78.74653,11.449,0.037,12.18,0.035,2063.003422,0.001453,1.890403,0.00022,1.431766,0.122031,3999.351561,258.2876,28,possibly synchronized; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,147425389,2312.01,1,PC,PC,327.61754,-46.29526,12.48,0.018,13.073,0.08,2063.374252,0.00186,3.185687,0.000505,3.218099,0.135865,7883.575076,292.02438,28,no stellar radius; Teff ~5600 K; plx ~ 1.66 mas; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,25139786,2311.01,1,PC,APC,326.27267,-20.03252,11.995,0.018,12.899,0.08,2062.770201,0.001343,1.593377,0.000176,1.773257,0.086427,7842.022144,402.01895,28,Possible secondary consistent with planetary origin; possibly EB; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,tic8.1,328012209,2309.01,1,PC,PC,2.94426,-68.570136,10.0596,0.006,10.352,0.005,2064.567109,0.004642,10.153667,0.003331,5.944175,0.703424,813.710842,82.48734,28,Period could be double; v-shaped; centroid offset towards not a particularly bright star; artifact TIC 328012208 close by,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,270219048,2307.01,1,PC,PC,330.13587,-29.14849,12.178,0.02,12.949,0.092,2062.61355,0.001197,2.681646,0.00025,1.768811,0.077928,8584.486099,683.86456,28,V-shaped; slight odd-even; 2 stars in pixel; centroid closer to nearest faint neighbor; also observed in S01 ,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,147284470,2306.01,1,PC,PC,324.80081,-44.37528,13.218,0.02,13.953,0.114,2064.313947,0.001415,2.990661,0.000379,1.665468,0.174553,10475.681742,577.40155,28,2 stars in pixel; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,tic8.1,70420766,2304.01,1,PC,PC,339.436014,-30.608296,10.2356,0.0063,10.728,0.007,2063.305178,0.003326,9.409039,0.002422,2.61411,0.786447,935.979025,112.57842,28,Low SNR (8.5); period can be double,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,,197959526,2303.01,1,PC,PC,348.29656,-53.83279,11.751,0.018,12.234,0.02,2061.885478,0.001705,0.719629,0.000102,1.474746,0.266161,4971.145659,440.55856,28,likely in the NE star; also observed in S01,2020-10-01 13:35:30+0000,2021-04-27 11:19:09+0000
spoc,tic8.1,144000801,2302.01,1,PC,PC,336.27884,-52.536622,11.0075,0.006,11.538,0.023,2063.140785,0.00106,1.310383,0.000111,1.624022,0.086278,3904.282474,157.48242,28,V-shaped; there may be some phase offset in odd/even transits,2020-10-01 13:35:29+0000,2021-04-27 11:19:09+0000
spoc,tic8,138126035,2321.01,1,PC,PC,196.736426,16.549448,9.84325,0.006,10.349,0.007,1944.666952,,,,3.076075,0.888933,917.617336,126.41321,23,CTOI from Planet Hunters,2020-10-05 21:01:55+0000,2021-04-27 11:19:09+0000
spoc,tic8,207501148,2320.01,1,PC,PC,247.657526,56.39933,9.85317,0.0061,10.385,0.005,2007.727293,,,,4.487534,0.193248,4111.223483,217.88962,25,CTOI from Planet Hunters; Rp is at least 2x9.4Re; single transit,2020-10-05 21:01:55+0000,2021-05-04 21:41:59+0000
spoc,tic8,349488688,2319.01,1,PC,PC,253.784817,20.491332,8.40302,0.006,8.855,0.002,2002.77016,,,,6.326219,0.266895,620.780137,45.750603,25,CTOI from Planet Hunters,2020-10-05 21:01:55+0000,2021-04-27 11:19:09+0000
qlp,tic8,69819610,2324.01,1,PC,PC,337.887232,-23.164894,9.144,0.006,9.597,0.004,2084.80007,0.00443,1.0371,0.00034,2.856,0.253,290.0,0.522698,28,possible odd even; noisy ,2020-10-07 15:20:38+0000,2021-04-27 11:19:10+0000
spoc,,394287035,2328.01,1,PC,PC,31.68993,-81.24736,11.514,0.018,12.331,0.031,2065.874243,0.000936,17.102093,0.001317,3.360988,0.105496,11194.467752,243.42764,28,period could be half,2020-10-07 20:14:20+0000,2021-04-27 11:19:10+0000
qlp,tic8,189620016,2372.01,1,PC,APC,144.040636,-24.751125,12.219,0.007,,,1541.2094,0.00249,1.17971,0.00017,1.224,0.163,3780.0,7.40686,8,Possibly EB; synced with phase modulations; CTOI from Marco Montalto,2020-10-23 19:58:29+0000,2021-04-27 11:19:10+0000
qlp,tic8,432132155,2371.01,1,PC,PC,137.311758,-19.778012,12.204,0.007,,,1540.72318,0.00248,4.898,0.00085,3.831,0.166,9960.0,4.73045,8,Slight depth-aperture correlation; Gaia DR2 RV error ~2.5 km/s; CTOI from Marco Montalto,2020-10-23 19:58:29+0000,2021-04-27 11:19:10+0000
qlp,tic8,347357977,2370.01,1,PC,PC,132.898875,-16.386258,11.488,0.006,,,1539.60416,0.00862,12.68587,,3.689,0.487,1590.0,4.89452,8,CTOI from Marco Montalto,2020-10-23 19:58:29+0000,2021-04-27 11:19:10+0000
qlp,tic8,220068921,2369.01,1,PC,PC,83.913792,4.82811,12.123,0.02,,,1489.43839,0.00255,3.36376,0.00068,3.418,0.211,7030.0,2.93661,6,Some centroid shift and slight depth-aperture correlation; CTOI from Marco Montalto,2020-10-23 19:58:29+0000,2021-04-27 11:19:10+0000
qlp,tic8,401125028,2368.01,1,PC,PC,134.957657,-48.488408,11.695,0.006,,,1541.63856,0.00133,5.17446,0.00044,1.683,0.24,11440.0,9.75674,8,Slight odd-even and inconsistent transit shapes which can be due to few transits available; CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,441159680,2367.01,1,PC,PC,333.111313,-26.926322,12.319,0.007,,,2084.78676,0.00077,5.74984,1e-05,3.734,0.154,17690.0,3.38406,28,Slight depth-aperture correlation; CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,204671232,2361.01,1,PC,PC,184.982729,-27.284882,11.92,0.006,,,1595.20891,0.00139,8.71546,0.00113,3.934,0.129,12010.0,3.13566,10,CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,31656385,2360.01,1,PC,FP,46.65952,-66.007983,11.996,0.006,,,2073.99562,0.00641,22.84518,0.0002,7.215,0.749,9210.0,6.90369,28,CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,436102447,2359.01,1,PC,PC,83.818683,6.587777,11.033,0.007,,,1486.39266,0.00227,5.1858,0.00104,7.191,0.223,4550.0,0.830724,6,2 stars in pixel; CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,124095888,2358.01,1,PC,PC,196.285867,-31.985317,11.514,0.007,,,1594.91327,0.0042,1.12608,0.00036,0.863,0.31,1700.0,28.4577,10,Very slight depth-aperture correlation; CTOI from Marco Montalto; artifact TIC 124095880 close by,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,124206468,2357.01,1,PC,PC,197.200513,-31.49946,11.459,0.006,,,1592.1129,0.00292,7.0955,0.00215,2.797,0.605,5430.0,11.7369,10,Period could be 2x (14.2 d); CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,30947715,2356.01,1,PC,PC,79.617824,-28.005929,11.712,0.007,,,1489.40504,0.00634,3.66275,0.00078,3.096,0.445,970.0,2.76594,6,Potential L1 candidate; small depth aperture correlation; CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,124515764,2355.01,1,PC,PC,199.02116,-33.763929,11.796,0.006,,,1595.0026,0.00787,1.2708,0.00069,2.411,0.363,1360.0,3.04003,10,Slight depth-aperture correlation; could be L1 given Rp error; CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,219766989,2354.01,1,PC,PC,192.321724,-21.332987,11.995,0.008,,,1595.30511,0.00179,0.51117,7e-05,0.791,0.214,2640.0,16.3218,10,a/R ~ 1.85; CTOI Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,290036495,2351.01,1,PC,APC,192.66173,-14.565065,12.11,0.007,,,1591.46746,0.00079,5.2524,0.00052,1.669,0.187,21630.0,10.7511,10,Could be EB; CTOI from Marco Montalto,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,47601197,2350.01,1,PC,PC,97.408147,-21.994347,10.648,0.006,,,1476.588785,0.001864,8.625177,0.00267,2.704,0.528,1690.0,10.4777,6,Period should be doubled (8.6 or 8.62562 days). Possible multi. CTOI from Marco Montalto.,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,405452527,2349.01,1,PC,APC,143.259373,-13.830644,11.893,0.007,,,1539.59395,0.00115,11.56356,0.00045,6.852,0.408,19280.0,4.66533,8,CTOI from Marco Montalto; RV error ~4.8 km/s from Gaia DR2; large radius for period; possible EB,2020-10-23 19:58:28+0000,2021-04-27 11:19:10+0000
qlp,tic8,91555165,2345.01,1,PC,PC,43.88373,-34.977525,10.376,0.006,,,2169.33969,0.00419,1.05138,1e-05,1.899,0.372,280.0,0.824908,31,Potential L1 candidate; CTOI from Marco Montalto,2020-10-23 19:58:27+0000,2021-04-27 11:19:10+0000
qlp,tic8,311179742,2344.01,1,PC,PC,257.715078,-75.729997,12.277,0.006,,,1674.11929,0.00991,8.30539,0.00457,5.057,0.697,3050.0,12.565,13,Noisy LC; CTOI from Marco Montalto,2020-10-23 19:58:27+0000,2021-04-27 11:19:10+0000
qlp,tic8,100267480,2341.01,1,PC,PC,306.843192,-53.220607,12.722,0.008,,,1681.75145,0.00097,0.87741,6e-05,0.472,0.055,12050.0,32.5226,13,v-shaped; potentially grazing incident;  CTOI from Marco Montalto,2020-10-23 19:58:26+0000,2021-04-27 11:19:10+0000
qlp,tic8,230001847,2337.01,1,PC,PC,290.619986,60.853861,11.235,0.007,,,2033.36486,0.00564,2.9943,8e-05,5.994,0.317,680.0,0.377663,26,Possible EB; check neighbors; CTOI from Samuel Grunblatt,2020-10-23 19:58:26+0000,2021-04-27 11:19:10+0000
qlp,tic8,88902249,2336.01,1,PC,PC,230.230383,-33.692379,10.176,0.006,,,1618.69605,0.00202,7.7054,0.00135,4.308,0.441,3640.0,1.76943,11,period could be double (15.4 d); CTOI from Marco Montalto,2020-10-23 19:58:26+0000,2021-04-27 11:19:10+0000
qlp,tic8,286000547,2332.01,1,PC,PC,139.741594,-15.308055,12.201,0.007,,,1539.0186,0.00125,7.4919,0.00021,3.86,0.716,13780.0,33.8736,8,Period may be double (15 days). CTOI from Marco Montalto.,2020-10-23 19:58:26+0000,2021-04-27 11:19:10+0000
qlp,,439366538,2374.01,1,PC,PC,319.49828,-22.04969,11.15,0.018,,,1326.555387,,4.31362,1e-05,1.709,0.189,9490.0,7.69056,28,,2020-10-28 23:31:58+0000,2021-04-27 11:19:10+0000
qlp,tic8,164150537,2375.01,1,PC,PC,335.741971,30.573224,12.639,0.007,,,1741.72616,0.00231,6.16096,0.00124,1.841,0.271,23330.0,41.0824,16,,2020-10-28 23:33:59+0000,2021-04-27 11:19:10+0000
spoc,,237885040,2387.01,1,PC,PC,20.41044,-64.87565,11.804,0.018,,,2091.530798,0.000958,5.659675,0.000582,1.457598,0.076222,8505.393885,341.49362,29,,2020-11-06 18:59:46+0000,2021-04-27 11:19:10+0000
spoc,tic8.1,32487566,2386.01,1,KP,KP,4.60292,-15.267299,10.5853,0.0077,,,2090.383107,0.000485,2.756739,0.000104,2.380856,0.033208,9248.475992,115.61662,29,WASP-26 b,2020-11-06 18:59:46+0000,2021-04-27 11:19:10+0000
spoc,,231850364,2385.01,1,PC,PC,26.96502,-61.68676,13.442,0.018,,,2089.240116,0.001292,3.158182,0.000316,2.389697,0.115878,16826.873281,541.0131,29,,2020-11-06 18:59:46+0000,2021-04-27 11:19:10+0000
spoc,,382602147,2384.01,1,PC,PC,36.156112,-64.999966,13.294,0.018,,,2090.106023,0.000548,2.135634,8.9e-05,1.901779,0.0433,29331.37494,470.40402,29,2 stars in pixel,2020-11-06 18:59:46+0000,2021-04-27 11:19:10+0000
spoc,,20897611,2383.01,1,PC,APC,1.48484,-20.65396,10.424,0.018,,,2089.781013,0.001214,3.134812,0.000269,1.527077,0.093832,9565.672062,651.3427,29,need to check if the star is on target (slightly more likely) or 20897612.,2020-11-06 18:59:45+0000,2021-04-27 11:19:10+0000
spoc,,2760219,2382.01,1,PC,PC,356.37519,-16.11412,11.397,0.018,,,2089.606904,0.001604,4.661037,0.000643,2.106479,0.115292,4876.176465,235.50182,29,V-shaped;,2020-11-06 18:59:45+0000,2021-04-27 11:19:10+0000
spoc,,39080923,2381.01,1,PC,PC,13.64379,-67.91503,12.294,0.018,,,2090.202924,0.001232,5.044611,0.000481,1.895007,0.10884,14609.192797,886.1515,29,Slight odd-even and V-shape,2020-11-06 18:59:45+0000,2021-04-27 11:19:10+0000
spoc,tic8,176220787,2380.01,1,KP,KP,0.32575,-8.926293,9.483,0.007,,,2092.523851,0.000621,5.215623,0.000332,5.531435,0.050119,5199.645012,59.05801,29,WASP-136 b,2020-11-06 18:59:45+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,201177276,2379.01,1,PC,PC,358.091928,-53.043163,13.6521,0.007308,,,2089.810386,0.000949,5.469706,0.000383,1.860087,0.095158,31665.507209,1043.4904,29,V-shaped; potentially grazing incidence,2020-11-06 18:59:45+0000,2021-04-27 11:19:11+0000
spoc,,231063955,2378.01,1,PC,PC,31.617082,-56.198935,13.298,0.018,,,2090.74622,0.001392,3.497278,0.000374,2.168336,0.108248,17354.7453,630.0824,29,,2020-11-06 18:59:45+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,146165619,2377.01,1,PC,APC,341.87177,-15.572817,14.1858,0.0066,,,2088.794953,0.000924,1.676607,0.000109,1.470651,0.083695,38486.302826,2037.2201,29,V-shaped; faint host,2020-11-06 18:59:45+0000,2021-04-27 11:19:11+0000
spoc,,326522874,2376.01,1,PC,PC,344.74399,-23.14803,12.66,0.018,,,2091.161581,0.002887,3.182505,0.000784,2.288873,0.413273,3993.212091,356.85098,29,SG1 needs to clear the neighbors,2020-11-06 18:59:45+0000,2021-04-27 11:19:11+0000
spoc,,89544985,2389.01,1,PC,PC,357.9623,-19.17848,13.305,0.019,,,2089.052443,0.001581,2.336567,0.00027,1.735598,0.136377,13119.17219,689.2509,29,V-shaped,2020-11-09 22:39:26+0000,2021-04-27 11:19:11+0000
spoc,,369965258,2390.01,1,PC,PC,5.1285,-61.38613,11.315,0.018,,,2089.360356,0.002873,2.119818,0.000429,2.08862,0.174492,1867.817551,157.58714,29,faint star nearby,2020-11-09 22:48:11+0000,2021-04-27 11:19:11+0000
spoc,,299897516,2391.01,1,PC,PC,10.16184,-60.88047,12.867,0.018,,,2095.690939,0.002151,7.832434,0.00169,6.877111,0.184857,14155.585922,399.7919,29,possible EB,2020-11-09 22:50:15+0000,2021-04-27 11:19:11+0000
qlp,tic8,1525480,2402.01,1,PC,PC,156.5278,-17.262654,12.267,0.007,,,1565.38676,0.00264,5.50933,0.00146,3.295,0.772,8060.0,12.9294,9,CTOI from Marco Montalto,2020-11-24 20:52:12+0000,2021-04-27 11:19:11+0000
qlp,tic8,219701535,2399.01,1,PC,PC,175.472819,-21.796755,11.738,0.008,,,1564.11079,0.003,5.47104,0.00156,2.327,0.316,3980.0,2096.26,9,v-shaped; slight depth aperture; CTOI from Marco Montalto,2020-11-24 20:52:12+0000,2021-04-27 11:19:11+0000
qlp,tic8,144124187,2395.01,1,PC,PC,175.879371,-7.29609,11.762,0.007,,,1566.76492,0.00161,7.86839,0.00094,3.997,0.162,10830.0,3.17423,9,ephemeris match to TIC 144124186; CTOI from Marco Montalto,2020-11-24 20:52:12+0000,2021-04-27 11:19:11+0000
qlp,tic8,144297844,2394.01,1,PC,PC,178.890806,-10.029076,11.952,0.007,,,1565.50733,0.00891,3.49749,0.00325,2.379,0.528,1430.0,8.85192,9,minor depth-aperture correlation; weak signal; CTOI from Marco Montalto,2020-11-24 20:52:12+0000,2021-04-27 11:19:11+0000
spoc,tic8,293435336,2403.01,1,KP,KP,26.63274,2.700565,9.027,0.007,,,2117.687201,0.000119,1.809879,1.5e-05,3.754375,0.009231,12983.111217,40.08704,30,WASP-76 b,2020-11-24 20:55:49+0000,2021-04-27 11:19:11+0000
spoc,tic8,10837041,2411.01,2,PC,PC,20.92297,-8.701384,10.424,0.006,,,2116.012856,0.002147,0.782765,0.000117,1.262148,0.346222,519.191219,52.78806,30,low-SNR,2020-11-24 20:55:50+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,248391319,2410.01,1,PC,APC,19.626777,-0.056509,12.2478,0.0061,,,2116.583003,0.002224,0.798947,0.000123,1.161596,0.189132,2303.819305,375.7555,30,V-shaped,2020-11-24 20:55:50+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,321068176,2409.01,1,PC,PC,44.338513,-41.191695,11.2711,0.006,,,2121.065867,0.001443,12.969693,0.002006,1.112907,0.476582,4085.684538,401.81012,30,,2020-11-24 20:55:50+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,67630845,2408.01,1,PC,PC,18.241868,-32.96602,11.9205,0.006,,,2118.831086,0.002176,9.465545,0.001567,3.025646,0.236349,5514.632335,313.27863,30,Period may be double (18.9d),2020-11-24 20:55:50+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,212957629,2406.01,1,PC,PC,8.805081,-3.370635,14.3109,0.007448,,,2115.975346,0.001863,3.076856,0.00038,1.240054,0.212746,20285.433656,1641.2948,30,low MES; very small star,2020-11-24 20:55:50+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,231297123,2405.01,1,PC,PC,45.143826,-51.793742,12.5515,0.006,,,2117.318372,0.002921,1.979401,0.00041,1.5055,0.582297,2120.696662,225.70084,30,low SNR,2020-11-24 20:55:50+0000,2021-04-27 11:19:11+0000
qlp,tic8,684936227,2412.01,1,PC,FA,62.378395,-62.851371,11.976,0.006,,,2134.75391,0.00837,15.29859,0.00274,3.214,0.604,1187.0,5.38013,29,TOI 2412. False Alarm. Phantom target with TOI 722. ,2020-11-25 21:07:35+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,237320326,2414.01,1,KP,KP,344.873412,-60.44781,12.003,0.006,,,2062.739359,0.000475,1.777111,7.1e-05,1.566953,0.034641,14073.502116,252.49207,28,WASP-164 b,2020-11-25 21:26:32+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,206498307,2413.01,1,PC,FP,332.188138,-18.992665,11.3882,0.0084,,,2066.937927,0.002826,13.419039,0.0039,5.922188,0.255401,4668.53687,175.30649,28,Period could be half (6.7 d),2020-11-25 21:26:32+0000,2021-04-27 11:19:11+0000
spoc,tic8.1,161223358,2415.01,1,PC,PC,340.977013,-53.428355,14.9333,0.007591,,,2062.02582,0.000595,0.515301,2.4e-05,1.055226,0.068991,40045.977911,1493.9188,28,possible secondary near phase 0.5; short period modulation possibly phased with transits,2020-11-25 21:26:32+0000,2021-04-27 11:19:11+0000
